Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Region
15,SeXy Chonks,12,17,0,9,1,5,3,14,1,Lobby 1,Round_2,,,,,EMEA
16,HEROES ESPORT,4,20,0,19,0,12,3,16,0,Lobby 1,Round_2,,,,,EMEA
17,Royal Mooses,4,19,0,20,0,13,0,11,2,Lobby 1,Round_2,,,,,EMEA
18,MantaX,3,16,0,12,0,17,1,17,1,Lobby 1,Round_2,,,,,EMEA
19,7Hologram,3,11,0,15,0,11,0,18,0,Lobby 1,Round_2,,,,,EMEA
20,Reapers of death,1,14,0,18,0,20,0,20,0,Lobby 1,Round_2,,,,,EMEA
1,MP,73,14,0,1,14,1,27,9,5,Lobby 2,Round_2,,,,,EMEA
2,NoFear,45,2,10,6,8,4,3,7,4,Lobby 2,Round_2,,,,,EMEA
3,SPIRAL,42,1,11,3,7,6,1,11,0,Lobby 2,Round_2,,,,,EMEA
4,UTFT,39,13,1,7,4,3,2,1,9,Lobby 2,Round_2,,,,,EMEA
5,Hope Die Last,35,5,5,13,0,2,4,4,7,Lobby 2,Round_2,,,,,EMEA
6,FV,31,6,3,8,9,13,5,3,1,Lobby 2,Round_2,,,,,EMEA
7,Proxima,27,8,6,5,3,5,5,12,2,Lobby 2,Round_2,,,,,EMEA
8,Uchinix,22,12,11,15,3,16,0,6,3,Lobby 2,Round_2,,,,,EMEA
9,ORCL,21,3,5,18,0,7,1,10,3,Lobby 2,Round_2,,,,,EMEA
10,AUS,16,11,0,19,0,20,0,2,6,Lobby 2,Round_2,,,,,EMEA
11,ConsoleGamers,16,4,2,9,1,8,2,13,1,Lobby 2,Round_2,,,,,EMEA
12,Kamisato,15,15,0,15,0,11,4,8,6,Lobby 2,Round_2,,,,,EMEA
13,superdumplings,14,19,0,2,3,10,0,16,0,Lobby 2,Round_2,,,,,EMEA
14,Black PENTA,12,7,1,10,3,12,1,14,0,Lobby 2,Round_2,,,,,EMEA
15,PDPivas,12,10,0,14,2,17,0,5,3,Lobby 2,Round_2,,,,,EMEA
16,ZEBI,10,9,0,4,1,15,0,15,0,Lobby 2,Round_2,,,,,EMEA
17,Young Squad,8,17,0,12,0,14,0,17,6,Lobby 2,Round_2,,,,,EMEA
18,Gang FDD,3,20,0,17,0,9,0,20,1,Lobby 2,Round_2,,,,,EMEA
19,weebs,1,16,0,11,0,19,0,19,0,Lobby 2,Round_2,,,,,EMEA
20,Minor Keepers,0,18,0,20,0,18,0,18,0,Lobby 2,Round_2,,,,,EMEA
1,DM,57,1,16,6,3,5,5,3,7,Lobby 3,Round_2,,,,,EMEA
2,BGR,51,18,0,3,10,1,5,1,5,Lobby 3,Round_2,,,,,EMEA
3,WLS,43,16,1,1,6,3,8,6,6,Lobby 3,Round_2,,,,,EMEA
4,TD,40,2,2,13,0,4,7,2,7,Lobby 3,Round_2,,,,,EMEA
5,NotoriousFamily,35,15,0,2,7,7,3,4,7,Lobby 3,Round_2,,,,,EMEA
6,6bnt,32,6,4,5,0,2,4,5,4,Lobby 3,Round_2,,,,,EMEA
7,TRIHARD,31,5,9,4,6,14,5,14,0,Lobby 3,Round_2,,,,,EMEA
8,edit,22,10,9,11,3,12,1,10,3,Lobby 3,Round_2,,,,,EMEA
9,Reakless,22,3,7,9,5,13,0,17,0,Lobby 3,Round_2,,,,,EMEA
10,Weebs Out,18,8,1,14,0,19,4,8,8,Lobby 3,Round_2,,,,,EMEA
11,Justthreeplayers,13,17,3,7,1,10,3,15,0,Lobby 3,Round_2,,,,,EMEA
12,DASK,13,12,0,8,3,9,1,7,1,Lobby 3,Round_2,,,,,EMEA
13,24K,12,7,2,10,0,16,0,11,4,Lobby 3,Round_2,,,,,EMEA
14,iEnvy,10,13,0,16,0,8,6,13,0,Lobby 3,Round_2,,,,,EMEA
15,CHOC,9,9,2,20,1,18,1,18,3,Lobby 3,Round_2,,,,,EMEA
16,Team SiMo,9,4,1,18,0,11,0,9,0,Lobby 3,Round_2,,,,,EMEA
17,VALUE TEAM,8,20,0,19,0,6,5,19,0,Lobby 3,Round_2,,,,,EMEA
18,First in Battle,8,11,0,12,4,15,0,12,0,Lobby 3,Round_2,,,,,EMEA
19,White Clover,4,14,2,15,0,17,0,20,0,Lobby 3,Round_2,,,,,EMEA
20,BountyHunterGG,1,19,0,17,0,20,0,16,1,Lobby 3,Round_2,,,,,EMEA
1,LegionF,47,1,16,3,7,17,0,5,1,Lobby 4,Round_2,,,,,EMEA
2,ETH,46,3,5,1,7,3,4,7,1,Lobby 4,Round_2,,,,,EMEA
3,3turrets1brain,44,17,0,15,3,1,14,3,7,Lobby 4,Round_2,,,,,EMEA
4,KOMANDA A,39,6,1,13,0,4,4,1,13,Lobby 4,Round_2,,,,,EMEA
5,Pepegi,37,13,9,5,8,10,6,10,5,Lobby 4,Round_2,,,,,EMEA
6,LGN,36,7,3,12,5,2,9,9,4,Lobby 4,Round_2,,,,,EMEA
7,GVG,29,10,0,2,7,14,0,2,1,Lobby 4,Round_2,,,,,EMEA
8,PXL,25,8,2,7,5,11,3,4,4,Lobby 4,Round_2,,,,,EMEA
